Function                                                Module         CPU Time  CPU Time:Idle  CPU Time:Poor  CPU Time:Ok  CPU Time:Ideal  CPU Time:Over  Spin Time  Spin Time:Imbalance or Serial Spinning (OpenMP)  Spin Time:Lock Contention (OpenMP)  Spin Time:Communication (MPI)  Spin Time:Other  Overhead Time  Overhead Time:Creation (OpenMP)  Overhead Time:Scheduling (OpenMP)  Overhead Time:Reduction (OpenMP)  Overhead Time:Other
------------------------------------------------------  -------------  --------  -------------  -------------  -----------  --------------  -------------  ---------  -----------------------------------------------  ----------------------------------  -----------------------------  ---------------  -------------  -------------------------------  ---------------------------------  --------------------------------  -------------------
__kmp_fork_barrier                                      libiomp5.so     38.827s         4.632s        34.085s           0s          0.110s             0s    38.6967                                          37.148s                                  0s                                          1.549s       0.130018                               0s                                 0s                                0s               0.130s
__kmp_fork_call                                         libiomp5.so     26.229s         0.925s        24.487s           0s          0.817s             0s   0.313484                                           0.264s                              0.050s                                          0.000s        25.9153                               0s                                 0s                                0s              25.915s
__kmp_join_call                                         libiomp5.so      5.349s         0.892s         4.262s           0s          0.195s             0s   0.799817                                           0.494s                              0.094s                                          0.212s        4.54948                               0s                                 0s                                0s               4.549s
__kmpc_barrier                                          libiomp5.so      5.015s         1.391s         3.584s           0s          0.040s             0s    4.42153                                           4.239s                                  0s                                          0.183s       0.593603                               0s                                 0s                                0s               0.594s
__kmp_itt_metadata_loop                                 libiomp5.so      2.344s         0.290s         2.019s           0s          0.035s             0s   0.269814                                               0s                                  0s                                          0.270s        2.07415                               0s                                 0s                                0s               2.074s
__kmp_itt_metadata_loop                                 libiomp5.so      1.970s         0.282s         1.628s           0s          0.060s             0s   0.190404                                               0s                                  0s                                          0.190s        1.77995                               0s                                 0s                                0s               1.780s
__kmp_itt_stack_callee_enter                            libiomp5.so      1.211s         0.173s         0.480s           0s          0.559s             0s   0.232747                                               0s                                  0s                                          0.233s        0.97875                               0s                                 0s                                0s               0.979s
Central2D<Shallow2D, MinMod<float>>::compute_step       shallow          0.845s             0s         0.388s           0s          0.456s             0s          0                                               0s                                  0s                                              0s              0                               0s                                 0s                                0s                   0s
__kmp_enter_single                                      libiomp5.so      0.825s         0.080s         0.665s           0s          0.080s             0s  0.0697486                                               0s                                  0s                                          0.070s       0.755258                               0s                                 0s                                0s               0.755s
[OpenMP dispatcher]                                     libiomp5.so      0.320s         0.090s         0.170s           0s          0.060s             0s          0                                               0s                                  0s                                              0s       0.319775                           0.130s                                 0s                                0s               0.190s
__kmp_get_global_thread_id_reg                          libiomp5.so      0.261s         0.020s         0.231s           0s          0.010s             0s       0.02                                               0s                                  0s                                          0.020s       0.240975                               0s                                 0s                                0s               0.241s
