Function                                                  Module                     CPU Time  Spin Time:Imbalance or Serial Spinning (OpenMP)  Spin Time:Lock Contention (OpenMP)  Spin Time:Communication (MPI)  Spin Time:Other  Overhead Time:Creation (OpenMP)  Overhead Time:Scheduling (OpenMP)  Overhead Time:Reduction (OpenMP)  Overhead Time:Other
--------------------------------------------------------  -------------------------  --------  -----------------------------------------------  ----------------------------------  -----------------------------  ---------------  -------------------------------  ---------------------------------  --------------------------------  -------------------
__kmp_wait_template<kmp_flag_64>                          libiomp5.so                 11.776s                                          11.776s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_wait_template<kmp_flag_64>                          libiomp5.so                  1.133s                                           1.133s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
[Outside any known module]                                [Unknown]                    0.594s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_yield                                               libiomp5.so                  0.281s                                           0.281s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
kmp_basic_flag<unsigned long long>::notdone_check         libiomp5.so                  0.280s                                           0.280s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Central2D<Shallow2D, MinMod<float>>::limited_derivs       shallow                      0.263s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_x86_pause                                           libiomp5.so                  0.245s                                           0.245s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Central2D<Shallow2D, MinMod<float>>::compute_step         shallow                      0.181s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_x86_pause                                           libiomp5.so                  0.181s                                           0.181s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_hyper_barrier_release                               libiomp5.so                  0.073s                                           0.073s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_enter_single                                        libiomp5.so                  0.038s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.038s
__kmp_wait_template<kmp_flag_64>                          libiomp5.so                  0.038s                                           0.038s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__sched_yield                                             libc-2.12.so                 0.036s                                               0s                                  0s                             0s           0.036s                               0s                                 0s                                0s                   0s
kmp_basic_flag<unsigned long long>::notdone_check         libiomp5.so                  0.028s                                           0.028s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_release_template<kmp_flag_64>                       libiomp5.so                  0.027s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.027s
__kmp_x86_pause                                           libiomp5.so                  0.025s                                           0.025s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Central2D<Shallow2D, MinMod<float>>::compute_fg_speeds    shallow                      0.023s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_release_template<kmp_flag_64>                       libiomp5.so                  0.022s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.022s
__kmp_x86_pause                                           libiomp5.so                  0.018s                                           0.018s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
_IO_fwrite                                                libc-2.12.so                 0.014s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_x86_pause                                           libiomp5.so                  0.014s                                           0.014s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_hyper_barrier_gather                                libiomp5.so                  0.013s                                           0.013s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_barrier                                             libiomp5.so                  0.011s                                           0.011s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Shallow2D::flux_f22                                       shallow                      0.007s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Shallow2D::flux_g12                                       shallow                      0.007s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Shallow2D::flux_g20                                       shallow                      0.005s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
_IO_file_xsputn                                           libc-2.12.so                 0.005s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
std::vector<float, std::allocator<float>>::operator[]     shallow                      0.005s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
