n,p,b,time
360,1,1,24.03697
720,1,1,170.615
720,64,1,9.640779
1440,9,1,168.4604
1800,36,1,115.8296
720,100,1,7.865445
1800,81,1,80.40069
360,16,1,3.451582
1080,1,1,551.2639
2880,25,1,520.7956
2880,16,1,752.8611
1080,36,1,32.79086
2160,16,1,340.5005
1440,25,1,75.02052
2520,9,1,849.977
2160,144,1,108.7739
720,16,1,17.84689
1440,1,1,1405.421
2520,81,1,198.6501
1080,64,1,25.15838
360,25,1,2.560682
1800,16,1,213.0657
3960,25,1,1312.665
360,4,1,8.428653
2880,225,1,226.7365
3600,25,1,993.4122
360,144,1,2.597519
1800,1,1,2419.668
2520,100,1,178.2049
2880,81,1,256.3494
3240,225,1,320.9579
3960,81,1,640.3888
3240,144,1,341.0371
2880,100,1,244.3678
2160,4,1,1119.326
3960,9,1,3214.658
720,36,1,11.30714
2880,4,1,2859.741
3960,100,1,587.7886
360,225,1,2.790431
2520,144,1,172.6877
720,81,1,8.699927
2160,9,1,549.664
1440,4,1,350.8344
2160,64,1,142.5693
2880,36,1,404.1259
3240,16,1,1085.363
3600,64,1,545.1182
360,64,1,2.65687
3240,9,1,1752.552
360,9,1,5.686013
2160,36,1,180.2802
3600,36,1,742.902
1080,4,1,155.4136
2520,225,1,161.2594
2160,100,1,112.0383
1440,100,1,42.11898
1440,225,1,41.69439
3600,144,1,416.5603
3240,36,1,578.4281
3240,64,1,427.2904
1440,16,1,105.8565
1440,64,1,50.04686
720,225,1,10.76434
3240,25,1,732.7847
1080,9,1,75.26054
720,25,1,13.79753
2520,16,1,540.7519
3240,100,1,350.5237
360,100,1,2.114784
1080,81,1,26.93988
3600,81,1,480.5935
3600,100,1,433.3659
3960,36,1,994.4608
2160,25,1,231.2734
720,9,1,28.50635
1080,100,1,21.23625
3960,225,1,548.1561
3960,64,1,734.9457
2880,9,1,1244.708
3600,225,1,415.6236
1080,25,1,38.43396
2520,4,1,1780.122
2880,64,1,286.3119
1800,64,1,91.66873
720,144,1,8.89114
1440,36,1,65.03115
3600,16,1,1451.504
1800,225,1,73.7767
1080,16,1,54.07209
1080,225,1,23.07791
1800,9,1,323.0478
3960,16,1,1943.905
2520,64,1,213.1979
1440,144,1,42.5578
2520,36,1,282.9931
2160,225,1,106.7393
360,36,1,2.505926
720,4,1,48.68952
2520,25,1,381.297
1800,4,1,668.192
3600,9,1,2457.986
1800,144,1,71.10555
2160,81,1,128.2681
2880,144,1,234.2864
1800,100,1,77.92775
360,81,1,2.034084
1080,144,1,22.6693
1800,25,1,144.7443
3240,81,1,360.6954
1440,81,1,42.86099
3960,144,1,571.1163
