n,p,b,time
900,36,1,18.48633
2400,9,1,820.677
2400,36,1,651.566
300,1,1,2.144102
600,1,1,20.03951
300,4,1,1.257016
600,4,1,6.519788
900,1,1,75.32464
900,4,1,36.00472
300,9,1,0.8345399
600,9,1,5.485318
1200,4,1,76.31854
900,9,1,27.18266
1200,1,1,165.5321
1200,9,1,81.25059
1500,4,1,195.2471
1500,9,1,169.5429
1500,16,1,148.7172
1200,36,1,62.87014
1500,1,1,328.9908
1200,16,1,80.95964
1500,25,1,147.7777
900,25,1,23.91363
600,25,1,5.476483
600,36,1,4.686433
1200,25,1,69.80658
300,16,1,0.7135589
2400,16,1,612.0802
300,25,1,0.6124408
2400,4,1,744.6515
600,16,1,4.465325
300,36,1,0.8616421
1500,36,1,138.7554
900,16,1,23.61954
2400,1,1,1244.013
2400,25,1,635.0596
