n,p,b,time
1200,25,1,77.1424
600,1,1,14.63518
300,25,1,0.4425933
900,1,1,57.53514
300,4,1,0.5399189
900,4,1,25.36536
600,16,1,4.003269
1500,1,1,279.7591
1500,25,1,155.1325
600,25,1,4.207649
1200,16,1,78.98887
300,1,1,1.387451
900,25,1,21.66904
2400,9,1,659.0243
3600,16,1,2393.197
900,9,1,27.0543
2400,1,1,1584.269
1200,1,1,152.2503
1200,9,1,74.18285
600,4,1,5.421566
1500,16,1,202.0914
600,9,1,4.230277
1500,4,1,138.6757
300,16,1,0.3968248
1500,9,1,172.4281
300,9,1,0.3611262
1200,4,1,83.24321
3600,1,1,5001.704
3600,4,1,2290.478
900,16,1,25.44111
2400,4,1,562.6627
2400,16,1,625.8949
2400,25,1,688.2781
3600,25,1,2810.333
3600,9,1,2594.21
