Frame,Initial,Parallel
Average,4.52950854,1.96618996
1,4.468308,1.743288
2,4.468923,1.867762
3,4.471406,1.8865
4,4.471785,1.896273
5,4.472018,1.913024
6,4.472501,2.022954
7,4.501573,1.995248
8,4.473841,1.993301
9,4.473514,1.916126
10,4.474656,1.997498
11,4.474307,2.064316
12,4.47591,2.005893
13,4.479168,2.086459
14,4.478428,1.993293
15,4.324145,1.984681
16,4.289,1.902854
17,4.297817,1.91143
18,4.292165,2.025037
19,4.478597,1.90237
20,4.479466,2.027551
21,4.477933,1.841221
22,4.663032,1.902691
23,4.698583,1.988525
24,4.66134,1.996222
25,4.661559,2.029625
26,4.672745,1.902008
27,4.485846,1.914268
28,4.487038,1.908988
29,4.486155,1.91036
30,4.697128,1.91864
31,4.673596,1.836446
32,4.673456,1.899665
33,4.67664,1.912791
34,4.67343,1.975058
35,4.673302,2.004581
36,4.673729,1.991741
37,4.673215,1.978486
38,4.704125,1.998218
39,4.673623,2.028727
40,4.673856,2.090691
41,4.673854,2.106572
42,4.677842,2.023616
43,4.673541,2.00494
44,4.486652,2.003848
45,4.512664,1.946543
46,4.486836,2.035645
47,4.486642,2.009643
48,4.299649,2.006134
49,4.299835,1.998772
50,4.300053,2.008975
